date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:55	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jan%202025%2021:11:53%20GMT	https://htmldemo.net/robots.txt		(from )
22:11:57	36662/36662	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f6-8f36%22	https://htmldemo.net/mira/mira/index.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index.html	(from )
22:11:58	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jan%202025%2021:11:56%20GMT	https://htmldemo.net/mira/mira/apple-touch-icon.png	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/apple-touch-icon.png	(from https://htmldemo.net/mira/mira/index.html)
22:11:59	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263a2da1b-47e%22	https://htmldemo.net/mira/mira/assets/img/favicon.ico	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/img/favicon.ico	(from https://htmldemo.net/mira/mira/index.html)
22:12:02	194859/194859	---MCZ	200	added ('OK')	text/css	etag:%2263a2da01-2f92b%22	https://htmldemo.net/mira/mira/assets/css/bootstrap.min.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/bootstrap.min.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:03	4925/4925	---MCZ	200	added ('OK')	text/css	etag:%2263a2da05-133d%22	https://htmldemo.net/mira/mira/assets/css/owl.carousel.min.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/owl.carousel.min.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:04	10374/10374	---MCZ	200	added ('OK')	text/css	etag:%2263a2da05-2886%22	https://htmldemo.net/mira/mira/assets/css/pe-icon-7-stroke.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/pe-icon-7-stroke.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:06	31004/31004	---MCZ	200	added ('OK')	text/css	etag:%2263a2da03-791c%22	https://htmldemo.net/mira/mira/assets/css/font-awesome.min.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/font-awesome.min.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:07	3391/3391	---MCZ	200	added ('OK')	text/css	etag:%2263a2da03-d3f%22	https://htmldemo.net/mira/mira/assets/css/meanmenu.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/meanmenu.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:07	163/163	---MCZ	200	added ('OK')	text/css	etag:%2263a2da31-a3%22	https://htmldemo.net/mira/mira/assets/css/shortcodes/shortcode.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/shortcodes/shortcode.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:08	27767/27767	---MCZ	200	added ('OK')	text/css	etag:%2263a2da07-6c77%22	https://htmldemo.net/mira/mira/assets/css/style.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/style.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:09	11599/11599	---MCZ	200	added ('OK')	text/css	etag:%2263a2da06-2d4f%22	https://htmldemo.net/mira/mira/assets/css/responsive.css	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/css/responsive.css	(from https://htmldemo.net/mira/mira/index.html)
22:12:10	8622/8622	---MCZ	200	added ('OK')	application/javascript	etag:%2263a2da89-21ae%22	https://htmldemo.net/mira/mira/assets/js/vendor/modernizr-3.11.7.min.js	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/js/vendor/modernizr-3.11.7.min.js	(from https://htmldemo.net/mira/mira/index.html)
22:12:11	1151/1151	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202025%2021:12:09%20GMT	https://htmldemo.net/mira/mira/assets/img/logo/logo.png	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/assets/img/logo/logo.png	(from https://htmldemo.net/mira/mira/index.html)
22:12:13	36684/36684	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f1-8f4c%22	https://htmldemo.net/mira/mira/index-2.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index-2.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:14	47904/47904	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f2-bb20%22	https://htmldemo.net/mira/mira/index-3.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index-3.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:15	37170/37170	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f3-9132%22	https://htmldemo.net/mira/mira/index-4.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index-4.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:21	37963/37963	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f5-944b%22	https://htmldemo.net/mira/mira/index-6.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index-6.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:24	32998/32998	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9fc-80e6%22	https://htmldemo.net/mira/mira/shop.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/shop.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:24	32237/32237	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9e9-7ded%22	https://htmldemo.net/mira/mira/about-us.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/about-us.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:26	37537/37537	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f4-92a1%22	https://htmldemo.net/mira/mira/index-5.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/index-5.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:28	25753/25753	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9ed-6499%22	https://htmldemo.net/mira/mira/cart.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/cart.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:30	21971/21971	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9fb-55d3%22	https://htmldemo.net/mira/mira/register.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/register.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:30	47056/47056	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9ef-b7d0%22	https://htmldemo.net/mira/mira/checkout.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/checkout.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:31	24097/24097	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9fe-5e21%22	https://htmldemo.net/mira/mira/wishlist.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/wishlist.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:32	22236/22236	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9f7-56dc%22	https://htmldemo.net/mira/mira/login.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/login.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:32	30170/30170	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9fa-75da%22	https://htmldemo.net/mira/mira/preduct-details.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/preduct-details.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:33	24471/24471	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9ef-5f97%22	https://htmldemo.net/mira/mira/contact-us.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/contact-us.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:34	24583/24583	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9eb-6007%22	https://htmldemo.net/mira/mira/blog.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/blog.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:35	24577/24577	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9ea-6001%22	https://htmldemo.net/mira/mira/blog-style-2.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/blog-style-2.html	(from https://htmldemo.net/mira/mira/index.html)
22:12:35	26818/26818	---MCZ	200	added ('OK')	text/html	etag:%2263a2d9e8-68c2%22	https://htmldemo.net/mira/mira/blog-details.html	C:/Users/Haleem/Desktop/Cedar%20Men/htmldemo.net/mira/mira/blog-details.html	(from https://htmldemo.net/mira/mira/index.html)
